발생일,사고건수
2017-01-01,73
2017-01-02,82
2017-01-03,88
2017-01-04,115
2017-01-05,103
2017-01-06,96
2017-01-07,103
2017-01-08,72
2017-01-09,95
2017-01-10,104
2017-01-11,123
2017-01-12,113
2017-01-13,117
2017-01-14,112
2017-01-15,106
2017-01-16,131
2017-01-17,95
2017-01-18,118
2017-01-19,91
2017-01-20,75
2017-01-21,105
2017-01-22,83
2017-01-23,144
2017-01-24,174
2017-01-25,175
2017-01-26,147
2017-01-27,69
2017-01-28,51
2017-01-29,53
2017-01-30,67
2017-01-31,86
2017-02-01,71
2017-02-02,84
2017-02-03,102
2017-02-04,91
2017-02-05,76
2017-02-06,91
2017-02-07,80
2017-02-08,106
2017-02-09,102
2017-02-10,114
2017-02-11,108
2017-02-12,90
2017-02-13,119
2017-02-14,81
2017-02-15,100
2017-02-16,95
2017-02-17,130
2017-02-18,121
2017-02-19,85
2017-02-20,97
2017-02-21,91
2017-02-22,91
2017-02-23,105
2017-02-24,98
2017-02-25,137
2017-02-26,73
2017-02-27,89
2017-02-28,101
2017-03-01,106
2017-03-02,86
2017-03-03,107
2017-03-04,105
2017-03-05,81
2017-03-06,99
2017-03-07,89
2017-03-08,106
2017-03-09,94
2017-03-10,118
2017-03-11,117
2017-03-12,83
2017-03-13,110
2017-03-14,102
2017-03-15,116
2017-03-16,92
2017-03-17,100
2017-03-18,109
2017-03-19,77
2017-03-20,91
2017-03-21,90
2017-03-22,118
2017-03-23,112
2017-03-24,109
2017-03-25,83
2017-03-26,74
2017-03-27,101
2017-03-28,100
2017-03-29,107
2017-03-30,106
2017-03-31,110
2017-04-01,101
2017-04-02,89
2017-04-03,86
2017-04-04,90
2017-04-05,129
2017-04-06,115
2017-04-07,116
2017-04-08,141
2017-04-09,90
2017-04-10,105
2017-04-11,132
2017-04-12,103
2017-04-13,108
2017-04-14,95
2017-04-15,111
2017-04-16,92
2017-04-17,90
2017-04-18,115
2017-04-19,119
2017-04-20,85
2017-04-21,124
2017-04-22,116
2017-04-23,87
2017-04-24,113
2017-04-25,89
2017-04-26,126
2017-04-27,109
2017-04-28,113
2017-04-29,111
2017-04-30,72
2017-05-01,89
2017-05-02,106
2017-05-03,94
2017-05-04,109
2017-05-05,68
2017-05-06,89
2017-05-07,76
2017-05-08,114
2017-05-09,84
2017-05-10,97
2017-05-11,99
2017-05-12,94
2017-05-13,121
2017-05-14,82
2017-05-15,95
2017-05-16,103
2017-05-17,105
2017-05-18,125
2017-05-19,131
2017-05-20,126
2017-05-21,115
2017-05-22,111
2017-05-23,134
2017-05-24,125
2017-05-25,101
2017-05-26,140
2017-05-27,137
2017-05-28,102
2017-05-29,104
2017-05-30,109
2017-05-31,99
2017-06-01,100
2017-06-02,114
2017-06-03,116
2017-06-04,96
2017-06-05,110
2017-06-06,94
